scheduled_date,actual_date,flight_num,origin,destination,airline,arrival,cargo,delayed_minutes
2022-02-18T00:05:00Z,2022-02-18T00:08:00Z,CX 2015,TPE,HKG,CPA,true,true,3
2022-02-18T00:15:00Z,2022-02-18T00:11:00Z,CX 880,HKG,LAX,CPA,false,false,-4
2022-02-18T00:20:00Z,2022-02-18T00:19:00Z,LD 681,TPE,HKG,AHK,true,true,-1
2022-02-18T00:35:00Z,2022-02-18T00:41:00Z,CX 289,HKG,FRA,CPA,false,false,6
2022-02-18T00:35:00Z,2022-02-18T00:19:00Z,EK 9838,DXB,HKG,UAE,true,true,-16
2022-02-18T00:40:00Z,2022-02-18T00:18:00Z,DL 9040,ICN,HKG,DAL,true,false,-22
2022-02-18T00:45:00Z,2022-02-18T00:28:00Z,LD 129,ICN,HKG,AHK,true,true,-17
2022-02-18T00:45:00Z,2022-02-18T00:27:00Z,LD 456,MNL,HKG,AHK,true,true,-18
2022-02-18T00:50:00Z,2022-02-18T00:47:00Z,CX 271,HKG,AMS,CPA,false,false,-3
2022-02-18T00:55:00Z,2022-02-18T00:41:00Z,CI 613,TPE,HKG,CAL,true,false,-14
2022-02-18T01:00:00Z,2022-02-18T00:48:00Z,LD 205,KIX,HKG,AHK,true,true,-12
2022-02-18T01:00:00Z,2022-02-18T03:45:00Z,BR 6537,TPE,HKG,EVA,true,true,165
2022-02-18T01:05:00Z,2022-02-18T03:20:00Z,TH 3507,SZB,HKG,RMY,true,true,135
2022-02-18T01:05:00Z,2022-02-18T01:22:00Z,NH 8511,NRT,HKG,ANA,true,true,17
2022-02-18T01:05:00Z,2022-02-18T00:58:00Z,KZ 203,NRT,HKG,NCA,true,true,-7
2022-02-18T01:15:00Z,2022-02-18T01:12:00Z,LD 217,NGO,HKG,AHK,true,true,-3
2022-02-18T01:20:00Z,2022-02-18T01:06:00Z,KE 313,ICN,HKG,KAL,true,true,-14
2022-02-18T01:20:00Z,2022-02-18T17:38:00Z,8K 525,HAN,HKG,KMI,true,true,978
2022-02-18T01:20:00Z,2022-02-18T01:14:00Z,LD 562,SGN,HKG,AHK,true,true,-6
2022-02-18T01:25:00Z,2022-02-18T01:03:00Z,LD 842,BKK,HKG,AHK,true,true,-22
2022-02-18T01:25:00Z,2022-02-18T01:14:00Z,LD 326,SIN,HKG,AHK,true,true,-11
2022-02-18T01:30:00Z,2022-02-18T04:01:00Z,Y8 7915,CTU,HKG,YZR,true,true,151
2022-02-18T01:30:00Z,2022-02-18T01:32:00Z,LD 209,NRT,HKG,AHK,true,true,2
2022-02-18T01:35:00Z,2022-02-18T01:24:00Z,5X 004,STN,HKG,UPS,true,true,-11
2022-02-18T01:40:00Z,2022-02-18T03:06:00Z,5Y 096,HKG,ICN,GTI,false,true,86
2022-02-18T01:55:00Z,2022-02-18T01:58:00Z,5Y 768,ICN,HKG,GTI,true,true,3
2022-02-18T02:00:00Z,2022-02-18T02:02:00Z,RH 829,HKG,PVG,HKC,false,true,2
2022-02-18T02:00:00Z,2022-02-18T23:47:00Z,RH 318D,HAN,HKG,HKC,true,true,1307
2022-02-18T02:00:00Z,2022-02-18T01:27:00Z,D7 681,HKG,KUL,XAX,false,false,-33
2022-02-18T02:00:00Z,2022-02-18T01:48:00Z,OZ 7469,HKG,ICN,AAR,false,false,-12
2022-02-18T02:00:00Z,2022-02-17T19:34:00Z,F7 8109,VKO,HKG,RSY,true,false,-386
2022-02-18T02:05:00Z,2022-02-18T01:33:00Z,LH 7014,FRA,HKG,DLH,true,false,-32
2022-02-18T02:25:00Z,2022-02-18T03:42:00Z,OZ 969,ICN,HKG,AAR,true,true,77
2022-02-18T02:30:00Z,2022-02-18T02:37:00Z,KE 608,HKG,ICN,KAL,false,false,7
2022-02-18T02:30:00Z,2022-02-18T03:14:00Z,RH 4568,HKG,TPE,HKC,false,true,44
2022-02-18T02:35:00Z,2022-02-18T02:37:00Z,NH 8512,HKG,NRT,ANA,false,true,2
2022-02-18T02:35:00Z,2022-02-18T02:10:00Z,KE 8605,ICN,HKG,KAL,true,false,-25
2022-02-18T02:45:00Z,2022-02-18T03:11:00Z,LD 783,PVG,HKG,AHK,true,true,26
2022-02-18T02:45:00Z,2022-02-18T02:09:00Z,HX 285,TPE,HKG,CRK,true,false,-36
2022-02-18T02:50:00Z,2022-02-18T02:06:00Z,EK 9839,HKG,DXB,UAE,false,true,-44
2022-02-18T02:55:00Z,2022-02-18T01:40:00Z,CI 614,HKG,TPE,CAL,false,false,-75
2022-02-18T02:55:00Z,2022-02-18T05:01:00Z,ES 727,BAH,HKG,DHX,true,true,126
2022-02-18T03:00:00Z,2022-02-18T02:51:00Z,KE 612,HKG,ICN,KAL,false,false,-9
2022-02-18T03:00:00Z,2022-02-18T05:54:00Z,BR 6538,HKG,TPE,EVA,false,true,174
2022-02-18T03:10:00Z,2022-02-18T03:29:00Z,3S 514,DXB,HKG,BOX,true,true,19
2022-02-18T03:10:00Z,2022-02-18T02:48:00Z,LD 769,PEK,HKG,AHK,true,true,-22
2022-02-18T03:15:00Z,2022-02-18T02:45:00Z,3S 592,DEL,HKG,BOX,true,true,-30
2022-02-18T03:15:00Z,2022-02-18T03:14:00Z,KZ 202,HKG,NRT,NCA,false,true,-1
2022-02-18T03:20:00Z,2022-02-18T03:24:00Z,KE 314,HKG,ICN,KAL,false,true,4
2022-02-18T03:20:00Z,2022-02-18T02:54:00Z,5X 004,HKG,TPE,UPS,false,true,-26
2022-02-18T03:30:00Z,2022-02-18T05:18:00Z,7L 628,ALA,HKG,AZG,true,true,108
2022-02-18T03:30:00Z,2022-02-18T19:05:00Z,8K 526,HKG,BKK,KMI,false,true,935
2022-02-18T03:45:00Z,2022-02-18T05:13:00Z,TH 3508,HKG,SZB,RMY,false,true,88
2022-02-18T03:55:00Z,2022-02-18T04:09:00Z,ES 723,BAH,HKG,DHX,true,true,14
2022-02-18T04:00:00Z,2022-02-18T03:43:00Z,KE 8606,HKG,ICN,KAL,false,false,-17
2022-02-18T04:00:00Z,2022-02-18T03:57:00Z,LD 391,HKG,PEN,AHK,false,true,-3
2022-02-18T04:00:00Z,2022-02-18T04:53:00Z,Y8 7916,HKG,CTU,YZR,false,true,53
2022-02-18T04:10:00Z,2022-02-18T04:23:00Z,CK 263,PVG,HKG,CKK,true,true,13
2022-02-18T04:15:00Z,2022-02-18T04:04:00Z,EY 925,AUH,HKG,ETD,true,true,-11
2022-02-18T04:15:00Z,2022-02-18T04:22:00Z,FV 4502,HKG,SVO,SDM,false,false,7
2022-02-18T04:30:00Z,2022-02-18T04:37:00Z,LD 3581,HKG,SGN,AHK,false,true,7
2022-02-18T04:45:00Z,2022-02-18T05:09:00Z,K4 335,ICN,HKG,CKS,true,true,24
2022-02-18T04:50:00Z,2022-02-18T23:37:00Z,CX 2754,HAN,HKG,CPA,true,false,1127
2022-02-18T04:50:00Z,2022-02-18T04:35:00Z,5Y 764,HKG,ANC,GTI,false,true,-15
2022-02-18T04:55:00Z,2022-02-18T04:32:00Z,3S 580,ICN,HKG,BOX,true,true,-23
2022-02-18T05:05:00Z,2022-02-18T10:12:00Z,N8 670,UTP,HKG,NCR,true,true,307
2022-02-18T05:05:00Z,2022-02-18T07:05:00Z,3S 516,LEJ,HKG,BOX,true,true,120
2022-02-18T05:05:00Z,2022-02-18T09:05:00Z,TH 6821,SZB,HKG,RMY,true,true,240
2022-02-18T05:10:00Z,2022-02-18T09:46:00Z,TK 6488,FRU,HKG,THY,true,true,276
2022-02-18T05:15:00Z,2022-02-18T05:07:00Z,3S 543,HKG,SIN,BOX,false,true,-8
2022-02-18T05:15:00Z,2022-02-18T06:10:00Z,AC 7274,HKG,ICN,ACA,false,false,55
2022-02-18T05:30:00Z,2022-02-18T06:48:00Z,7L 629,HKG,GYD,AZG,false,true,78
2022-02-18T05:35:00Z,2022-02-18T05:14:00Z,CX 2032,MAA,HKG,CPA,true,true,-21
2022-02-18T05:35:00Z,2022-02-18T05:27:00Z,ES 722,HKG,BAH,DHX,false,true,-8
2022-02-18T05:35:00Z,2022-02-18T05:35:00Z,3S 513,HKG,DXB,BOX,false,true,0
2022-02-18T05:40:00Z,2022-02-18T10:00:00Z,CX 3263,CKG,HKG,CPA,true,true,260
2022-02-18T05:40:00Z,2022-02-18T05:50:00Z,RH 320,SGN,HKG,HKC,true,true,10
2022-02-18T05:55:00Z,2022-02-18T20:39:00Z,TH 6823,SZB,HKG,RMY,true,true,884
2022-02-18T06:05:00Z,2022-02-18T06:03:00Z,FX 5217,TPE,HKG,FDX,true,true,-2
2022-02-18T06:10:00Z,2022-02-18T06:45:00Z,EK 9842,DXB,HKG,UAE,true,true,35
2022-02-18T06:15:00Z,2022-02-18T06:08:00Z,EY 926,HKG,AUH,ETD,false,true,-7
2022-02-18T06:15:00Z,2022-02-18T10:58:00Z,CX 016,HKG,TPE,CPA,false,true,283
2022-02-18T06:25:00Z,2022-02-18T10:13:00Z,TH 6820,HKG,SZB,RMY,false,true,228
2022-02-18T06:25:00Z,2022-02-18T06:26:00Z,RH 331,HKG,BKK,HKC,false,true,1
2022-02-18T06:45:00Z,2022-02-18T07:12:00Z,CX 3258,HKG,PVG,CPA,false,true,27
2022-02-18T06:45:00Z,2022-02-18T06:14:00Z,CK 264,HKG,PVG,CKK,false,true,-31
